iso_code,title,description,pubDate
us,Ravens Outlast 49ers With a Strong Finishing Kick,"BALTIMORE  The most difficult task in sports right now is not a single act  hitting a swerving baseball, saving a penalty kick, returning a supersonic serve  but rather a collective undertaking. It is containing the juggernaut that is the Baltimore Ravens propulsive offense, operated with unholy efficiency by quarterback Lamar Jackson, whose affinity for the magnificent is matched only by his ability to produce points, stacks of them. ",2019-12-02T00:09:49+0000
us,"Malta Leader Says He Will Resign, as Murder Inquiry Widens","VALLETTA, Malta  Destabilized by a widening investigation into the 2017 murder of Maltas best-known journalist, the prime minister of the Mediterranean island nation announced on Sunday that he would resign, but not leave office until January, following an uproar over the possible role of close associates in the killing.",2019-12-02T00:24:46+0000
us,Trumps Lawyers Wont Participate in Impeachment Hearing on Wednesday,"WASHINGTON Lawyers for President Trump said on Sunday that they would not participate in the House Judiciary Committees first public impeachment hearing on Wednesday, airing a long list of complaints that they said prevented any semblance of a fair process.",2019-12-02T00:36:40+0000
us,"Watchmen Season 1, Episode 7 Recap: Unintended Consequences","As a book and a show, Watchmen is about how history might have been rewritten if self-styled heroes in masks decided to mete out extralegal justice as they saw fit. Yet not all of their contributions are equal in scale. ",2019-12-02T03:00:05+0000
us,Amazon Removes Holiday Ornaments With Images of Auschwitz After Criticism,"Amazon on Sunday removed from its marketplace holiday ornaments, a bottle opener and other products displaying images of the Nazi concentration camp Auschwitz after the Auschwitz-Birkenau Memorial and Museum in Poland shared images of the products on social media, prompting widespread outrage.",2019-12-02T03:44:49+0000
us,"Mr. Robot Season 4, Episode 9 Recap: Downfall","Mr. Robot is not a show that traffics in easy catharsis. Seemingly every time Elliot Alderson and his allies  whether they exist only in his head or are flesh and blood human beings  win a battle against their ultrarich adversaries, defeat is snatched from the jaws of victory.",2019-12-02T04:00:07+0000
us,"No Corrections: Dec. 2, 2019","No corrections appeared in print on Monday, Dec. 2, 2019. ",2019-12-02T04:49:06+0000
us,N.F.L. Week 13: What We Learned,"It would be hard to draw up a weirder Sunday than one in which the Miami Dolphins, the Washington Redskins and the Cincinnati Bengals all won, while the New England Patriots and the San Francisco 49ers lost. The surprising victories by the N.F.L.s lesser teams provided plenty of entertainment, but Week 13 was all about the potential Super Bowl preview between the Baltimore Ravens and the 49ers, a pair of heavyweight teams that fought their way to a 20-17 classic. ",2019-12-02T05:01:13+0000
us,"Your Monday Briefing: Malta, Prince Andrew, Northern Ireland",(Want to get this briefing by email? Heres the sign-up.),2019-12-02T05:07:05+0000
us,Quotation of the Day: A New Rangers Star Adores Dogs. Hes Not Nearly as Nice to Goaltenders,I love dogs. Maybe more than humans.,2019-12-02T05:42:03+0000
us,Whats on TV Monday: Making It and Diamantino,"MAKING IT 10 p.m. on NBC. If you havent completed your holiday shopping yet, this craft competition show may inspire you to make your own gifts. The hosts Amy Poehler and Nick Offerman (Parks and Recreation) return for a second delightful season of creative exploration and craft puns. In this premiere, 10 contestants show off their making prowess by creating models of themselves as food items and reimagining their favorite inventions from their childhood. The judges Simon Doonan of Barneys and Dayna Isom Johnson of Etsy offer their expertise while Poehler and Offerman lighten the mood when the stress kicks in.",2019-12-02T06:00:08+0000
us,Manila Airport Shut as Typhoon Kammuri Hits the Philippines,"More than 43,000 people have been evacuated and schools in six provinces have suspended classes as the eastern islands of the Philippines were lashed Tuesday by heavy rains from Typhoon Kammuri after it made landfall late Monday.",2019-12-02T06:17:54+0000
us,ISIS Is Losing Afghan Territory. That Means Little for Its Victims.,"KABUL, Afghanistan  The Islamic States main stronghold in eastern Afghanistan collapsed in recent weeks, according to American and Afghan officials, following years of concerted military offensives from American and Afghan forces and, more recently, the Taliban.",2019-12-02T06:37:17+0000
us,Word + Quiz: palimpsest,_________,2019-12-02T07:00:02+0000
